,Unnamed: 0,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late,2drule_aic
0,0,234,0,relative,1D,0,negative,1D-F,0,0.8125,0.8981875,0.6,0.5979375,9,3.875,7.75,0.0,True
1,1,234,0,relative,1D,0,negative,1D-F,1,0.9375,0.647875,0.3,0.5979375,8,3.875,7.75,0.0,True
2,2,234,0,relative,1D,0,negative,1D-F,2,1.0,0.5535,0.1,0.5979375,11,3.875,7.75,0.0,False
3,3,234,0,relative,1D,0,negative,1D-F,3,0.96875,0.9719375,0.907,0.5979375,3,3.875,7.75,0.0,False
4,4,234,0,relative,1D,0,negative,1D-F,4,1.0,0.9914375,0.658,0.5979375,0,3.875,7.75,0.0,False
5,5,234,0,relative,1D,0,negative,1D-F,5,1.0,0.8395,0.7,0.5979375,0,3.875,7.75,0.0,False
6,6,234,0,relative,1D,0,negative,1D-F,6,1.0,1.065625,1.0745,0.5979375,0,3.875,7.75,0.0,False
7,7,234,0,relative,1D,0,negative,1D-F,7,1.0,0.5774375,0.444,0.5979375,0,3.875,7.75,0.0,False
8,8,236,0,relative,1D,1,negative,1D-C,0,0.78125,1.0726875,1.03,0.9464375,4,0.5,1.0,0.0,True
9,9,236,0,relative,1D,1,negative,1D-C,1,0.9375,1.0083125,0.818,0.9464375,0,0.5,1.0,0.0,True
10,10,236,0,relative,1D,1,negative,1D-C,2,0.8125,0.8545625,0.8795,0.9464375,0,0.5,1.0,0.0,False
11,11,236,0,relative,1D,1,negative,1D-C,3,0.84375,1.620625,1.53,0.9464375,0,0.5,1.0,0.0,True
12,12,236,0,relative,1D,1,negative,1D-C,4,0.875,1.0255625,0.9115,0.9464375,0,0.5,1.0,0.0,False
13,13,236,0,relative,1D,1,negative,1D-C,5,0.84375,1.0446875,0.804,0.9464375,0,0.5,1.0,0.0,True
14,14,236,0,relative,1D,1,negative,1D-C,6,0.875,0.853625,0.795,0.9464375,0,0.5,1.0,0.0,True
15,15,236,0,relative,1D,1,negative,1D-C,7,0.8125,0.9280625,0.8035,0.9464375,0,0.5,1.0,0.0,False
16,16,238,1,absolute,1D,0,positive,1D-F,0,0.875,0.8814,0.8424,0.71245,6,5.5,11.0,0.0,False
17,17,238,1,absolute,1D,0,positive,1D-F,1,0.9375,0.93865,0.8,0.71245,16,5.5,11.0,0.0,True
18,18,238,1,absolute,1D,0,positive,1D-F,2,1.0,0.62505,0.194,0.71245,12,5.5,11.0,0.0,False
19,19,238,1,absolute,1D,0,positive,1D-F,3,0.96875,0.58515,0.0204,0.71245,10,5.5,11.0,0.0,False
20,20,238,1,absolute,1D,0,positive,1D-F,4,1.0,1.18925,1.1636,0.71245,0,5.5,11.0,0.0,False
21,21,238,1,absolute,1D,0,positive,1D-F,5,1.0,1.0848,1.002,0.71245,0,5.5,11.0,0.0,False
22,22,238,1,absolute,1D,0,positive,1D-F,6,0.96875,0.87785,0.9712,0.71245,0,5.5,11.0,0.0,False
23,23,238,1,absolute,1D,0,positive,1D-F,7,1.0,0.80835,0.706,0.71245,0,5.5,11.0,0.0,False
24,24,242,0,relative,1D,0,positive,1D-C,0,0.6875,1.3754375,1.416,1.07275,15,3.625,6.75,0.5,False
25,25,242,0,relative,1D,0,positive,1D-C,1,0.84375,1.1585,1.175,1.07275,9,3.625,6.75,0.5,True
26,26,242,0,relative,1D,0,positive,1D-C,2,0.90625,1.1413125,1.3585,1.07275,3,3.625,6.75,0.5,False
27,27,242,0,relative,1D,0,positive,1D-C,3,0.90625,1.0405,0.7835,1.07275,0,3.625,6.75,0.5,False
